A3854,2016/01/28,2016/03/04,713541,948,顧家男摔癱「希望變失望」,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20160128/37034761,http://search.appledaily.com.tw/charity/projdetail/proj/A3854
A3853,2016/01/27,2016/03/04,860826,1083,喪夫獨養子女 苦命婦罹癌,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20160127/37032339,http://search.appledaily.com.tw/charity/projdetail/proj/A3853
A3852,2016/01/26,2016/03/04,935551,1150,顧癱孫癌夫 苦嬤兩頭燒,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20160126/37031239,http://search.appledaily.com.tw/charity/projdetail/proj/A3852
A3851,2016/01/25,2016/03/03,865510,1034,父子罹罕病 婦愁6口家,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20160125/37029653,http://search.appledaily.com.tw/charity/projdetail/proj/A3851
A3850,2016/01/22,2016/03/02,784563,927,婦撿回收 獨顧跛夫憨女,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20160122/37024123,http://search.appledaily.com.tw/charity/projdetail/proj/A3850
A3849,2016/01/21,2016/03/01,661175,852,貧婦陪夫化療 搭2小時車,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20160121/37022716,http://search.appledaily.com.tw/charity/projdetail/proj/A3849
A3848,2016/01/20,2016/03/01,785519,943,夫中風兒病弱 婦獨撐家,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20160120/37021444,http://search.appledaily.com.tw/charity/projdetail/proj/A3848
A3846,2016/01/19,2016/02/26,736526,927,母中風 扛家男又罹癌,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20160119/37019060,http://search.appledaily.com.tw/charity/projdetail/proj/A3846
A3845,2016/01/18,2016/02/26,853504,1027,癌兒顧癌母 拖4月才開刀,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20160118/37016679,http://search.appledaily.com.tw/charity/projdetail/proj/A3845
A3844,2016/01/17,2016/02/26,782327,939,母顧病父 16歲兒搬貨撐家,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20160117/37015090,http://search.appledaily.com.tw/charity/projdetail/proj/A3844
A3843,2016/01/15,2016/02/24,605307,837,孝子探母 車禍昏迷2月,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20160115/37011003,http://search.appledaily.com.tw/charity/projdetail/proj/A3843
A3842,2016/01/14,2016/02/23,938437,1087,顧癱父殘母 高三女苦撐,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20160114/37009202,http://search.appledaily.com.tw/charity/projdetail/proj/A3842
A3841,2016/01/13,2016/02/23,1009823,1078,5歲女伴癱母 「不想媽離開」,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20160113/37006806,http://search.appledaily.com.tw/charity/projdetail/proj/A3841
A3840,2016/01/12,2016/02/23,847485,1072,癌翁養憨兒 喝粥拌醬油,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20160112/37005431,http://search.appledaily.com.tw/charity/projdetail/proj/A3840
A3847,2016/01/11,2016/02/24,1040848,862,供餐課輔 協會助170貧童,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20160111/37003950,http://search.appledaily.com.tw/charity/projdetail/proj/A3847
A3838,2016/01/08,2016/02/23,725145,951,勇男陪妻抗癌 兼母職顧2兒,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20160108/36998481,http://search.appledaily.com.tw/charity/projdetail/proj/A3838
A3837,2016/01/07,2016/02/15,1119074,1198,兒一病一癱 母：心好痛,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20160107/36996122,http://search.appledaily.com.tw/charity/projdetail/proj/A3837
A3836,2016/01/06,2016/02/15,907524,1095,孝孫憂病嬤 「瘦到剩骨」,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20160106/36993888,http://search.appledaily.com.tw/charity/projdetail/proj/A3836
A3835,2016/01/05,2016/02/15,970209,1118,顧家男中風 憂6口斷炊,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20160105/36992331,http://search.appledaily.com.tw/charity/projdetail/proj/A3835
A3834,2016/01/04,2016/02/15,743502,952,「頭髮快長 給媽做假髮」,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20160104/36990959,http://search.appledaily.com.tw/charity/projdetail/proj/A3834
A3833,2015/12/31,2016/02/01,606587,859,中風婦拼復健 心繫病榻癱母,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151231/36983020,http://search.appledaily.com.tw/charity/projdetail/proj/A3833
A3830,2015/12/30,2016/01/31,828126,979,大一生 休學打工顧癱父,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151230/36981251,http://search.appledaily.com.tw/charity/projdetail/proj/A3830
A3832,2015/12/29,2016/01/31,781475,914,兒化療劇痛 單親媽崩潰,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151229/36979606,http://search.appledaily.com.tw/charity/projdetail/proj/A3832
A3831,2015/12/28,2016/01/31,750958,881,扛家男罹癌 為兒活下去,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151228/36977831,http://search.appledaily.com.tw/charity/projdetail/proj/A3831
A3829,2015/12/24,2016/01/25,743268,896,勇父罹癌 自責連累妻兒,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151224/36970864,http://search.appledaily.com.tw/charity/projdetail/proj/A3829
A3827,2015/12/23,2016/01/25,749107,932,癌父又復發 小四女打氣,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151223/36968257,http://search.appledaily.com.tw/charity/projdetail/proj/A3827
A3828,2015/12/22,2016/01/23,989884,1061,2稚兒全腦麻 沒錢拼復健,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151222/36966560,http://search.appledaily.com.tw/charity/projdetail/proj/A3828
A3825,2015/12/21,2016/01/22,951286,1017,婦顧病母癱妹 惶恐度日,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151221/36965091,http://search.appledaily.com.tw/charity/projdetail/proj/A3825
A3824,2015/12/18,2016/01/22,778376,977,單親媽愁癱兒 復健路長,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151218/36960532,http://search.appledaily.com.tw/charity/projdetail/proj/A3824
A3823,2015/12/17,2016/01/18,736120,891,鋼鐵爸病倒 4口家憂生計,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151217/36957520,http://search.appledaily.com.tw/charity/projdetail/proj/A3823
A3821,2015/12/16,2016/01/17,757705,940,憂老父子女 脊裂男不敢開刀,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151216/36955199,http://search.appledaily.com.tw/charity/projdetail/proj/A3821
A3820,2015/12/15,2016/01/16,869373,1092,救癌兒 翁忍病做工摔跛,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151215/36953677,http://search.appledaily.com.tw/charity/projdetail/proj/A3820
A3819,2015/12/14,2016/01/15,1352710,1306,父截肢 大學女扛4老弱,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151214/36952294,http://search.appledaily.com.tw/charity/projdetail/proj/A3819
A3818,2015/12/11,2016/01/14,1910493,1638,獨子癌逝 翁伴癱妻無依,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151211/36947270,http://search.appledaily.com.tw/charity/projdetail/proj/A3818
A3817,2015/12/10,2016/01/11,808268,1027,女打工幫家計 車禍昏迷,楊光翔,http://www.appledaily.com.tw/appledaily/article/headline/20151210/36945708,http://search.appledaily.com.tw/charity/projdetail/proj/A3817
A3816,2015/12/09,2016/01/11,724858,950,男日顧癱父 夜上工,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151209/36942677,http://search.appledaily.com.tw/charity/projdetail/proj/A3816
A3815,2015/12/08,2016/01/08,936068,1105,撐家男罹癌 妻顧3老病,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151208/36941451,http://search.appledaily.com.tw/charity/projdetail/proj/A3815
A3814,2015/12/07,2016/01/08,762333,923,清潔工中風 憂妻兒吃苦,向高彬,http://www.appledaily.com.tw/appledaily/article/headline/20151207/36939389,http://search.appledaily.com.tw/charity/projdetail/proj/A3814
A3813,2015/12/04,2016/01/11,733802,981,撐家父斷腿「不知怎過活」,韓旭爾,http://www.appledaily.com.tw/appledaily/article/headline/20151204/36934023,http://search.appledaily.com.tw/charity/projdetail/proj/A3813
A3812,2015/12/03,2016/01/08,750161,960,孝女日日奔娘家 顧癌兄探病母,張嘉恬,http://www.appledaily.com.tw/appledaily/article/headline/20151203/36932621,http://search.appledaily.com.tw/charity/projdetail/proj/A3812
